ID,Shloka,Translation,Time and Era,Celestial Objects/Mechanics,Ancient Astronomical Observations,Modern Scientific Understanding,Correlation Concepts,Cosmic Insights,NEP Correlation
162," -शास्त्रमाद्यं तदेवेदं यत्पूर्वं प्राह भास्करः 
युगानां वरिवर्तेन कालभेदोऽत्र केवलः
","The first science, as declared by Bhāskara, undergoes cyclic variations. Here, the division of eras is purely chronological.",Ancient Period,"Science, Bhāskara, Cycles","Bhāskara's declaration, cyclical variations",Scientific understanding of cyclical changes,Science as foundational,"Cycles in science, Chronology",This shloka corelates with NEP 2023 by emphasizing the historical continuity of astronomical knowledge and the need to adapt it to contemporary understanding.
163," लोकानामन्तकृत्‌ कालः कालोऽन्यः कलनात्मकः 
स द्विधा स्थूलसूत््मत्वान्मूर्तश्चामूतं उच्यते
","Time, the creator and destroyer of worlds, is dual-natured, both gross and subtle, mortal and immortal.",4th/5th Century CE,"Time, Creation, Destruction",Perception of time as dual-natured,Understanding time as a dual concept,Dual nature of time,"Time, Creation, Destruction","This shloka corelates with NEP 2023 by acknowledging the interdisciplinary nature of time studies, linking it with both astronomical and philosophical aspects."
164,"नाडीषष्टया तु ना्तत्रमहोरात्रं प्रकीर्तितम्‌ 
तत्तंशता भवेन्मासः सावनोऽर्कोदयेस्तथा
","There are seven nāḍīs (divisions) here, equal to one day and night. One hundred of these make a month, and so does the transit of the Sun.",4th/5th Century CE,"Nāḍīs, Day-Night, Month",Ancient timekeeping based on celestial movements,Solar and lunar timekeeping,Celestial time divisions,"Time divisions, Celestial movements","This shloka corelates with NEP 2023 by encouraging diverse perspectives on time studies, acknowledging the historical methods alongside modern approaches in astrophysics."
165,"एेन्दवस्तिथिभिस्तद्रत्‌ संक्रान्त्या सौर उच्यते 
मायैद्रदशभिर्वर्षं दिव्यं तदह उच्यते
","The solar month consists of twelve months, marked by solstices and equinoxes. The solar year is twelve times this, divine and beyond.",4th/5th Century CE,"Solar Months, Solstices, Equinoxes",Solar calendar with solstices and equinoxes,Solar year as a celestial cycle,Calendar based on celestial events,"Solar calendar, Celestial cycles",This shloka corelates with NEP 2023 by acknowledging the cultural and symbolic significance of celestial events in traditional astronomy and encouraging the integration of cultural astronomy in education.
166," सुरासुराणामन्योन्यमहोरात्रं विपर्ययात्‌ 
तत्‌ षष्टिः षड्गुणा दिव्यं वर्षमासुरमेव च श
",The day and night of the gods and demons interchange. This divine time is sixty times a year for gods and thirty-six for demons.,Divine Time,"Gods, Demons, Day-Night",Interchanging day-night cycles for gods and demons,Time dilation in cosmic realms,Divine time variations,"Cosmic time, Divine cycles",This shloka corelates with NEP 2023 by acknowledging the diversity of cultural interpretations in astronomical concepts and encouraging the understanding of varied perspectives in astrophysical education.
167,"तदद्रादशसहस्राणि चतुर्युगमुदाहतम्‌ 
सूर्यान्द सङ्ख्यया द्वित्रिसागरैरयुताहतैः",Eleven thousand and four yugas constitute the dawn of a cycle. Multiply this by a thousand for the duration of the four yugas.,4th/5th Century CE,"Yugas, Cycle Duration",Vedic understanding of cosmic cycles,Scientific understanding of cosmic cycles,Cosmic time scales,"Vedic cosmic cycles, Astronomical epochs","This shloka corelates with NEP 2023 by highlighting the integration of cultural and historical aspects of astronomy in education, fostering a multidisciplinary approach"
168,"सन्ध्यासन्ध्यांशसदहितं विज्ञेयं तच्चतुर्युगम्‌ 
कृतादीनां व्यवस्थेयं घर्मपादल्यवस्थया
","Understand the Sandhyā and the Sandhyāṅśa, which is a quarter of the four Yugas, for the orderly arrangement of the Dharma.",Ancient Period,"Sandhyā, Yugas, Dharma",Importance of Sandhyā for Dharma,Cosmic order and Dharma,Dharma and cosmic cycles,"Cosmic order, Dharma","This shloka corelates with NEP 2023 by emphasizing the integration of cultural and ethical dimensions in the study of celestial phenomena, promoting a holistic understanding of astronomy."
169," युगस्य दशमो भागद्चतुस्तिद्रयेकसङ्गुणः 
क्रमात्‌ कृतयुगादीनां षष्ठांशः सन्ध्ययोः स्वकः
","The tenth part of a Yuga, sequentially increasing by four, three, two, and one, makes the Sandhyās of the Yugas.",Ancient Timekeeping,"Yugas, Sandhyās","Describes the proportion of the Sandhya (junction) at the end of each Yuga as a measure based on the tenth part, increasing successively by three, and including the sixth part.","Represents a symbolic or mythological expression of the concept of cosmic cycles, possibly related to celestial phenomena.",Yuga cycles,"Time divisions, Yuga structure",This shloka corelates with NEP 2023 by emphasizing the integration of cultural and historical perspectives in the study of celestial events and encouraging students to explore the symbolic aspects of cosmic cycles.
170,"युगानां सप्ततिः सेका मन्वन्तरमिहोच्यते 
कृतान्द सङ्खया तस्यान्ते सन्धिः प्रोक्तो जलप्लवः
","Seventy Saptaṁśas (parts) of Yugas make one Manvantara. At the end of a Kṛta Yuga, a junction (Sandhi) occurs, known as Jala-Plava.",Ancient Concept,"Yugas, Manvantara, Sandhi","Describes the cycle where seven Yugas make up one Manvantara, and the junction at the end of a Kalpa is termed Jala-Plava (deluge) traditionally.","May symbolize a cyclical understanding of cosmic time, possibly reflecting cultural interpretations of natural events.",Manvantara cycles,"Cosmic transitions, Yuga cycles","This shloka corelates with NEP 2023 by recognizing the importance of cultural traditions and narratives in understanding astronomical concepts, promoting diverse perspectives in astrophysical education."
171," ससन्धयस्ते मनवः कल्पे ज्ञेयाश्चतुर्दश ॥ 
करृतप्रमाणः कल्पादौ सन्धिः पञ्चदशः स्मृतः
","In the Kalpa, fourteen Manus with their Sandhyās are known. At the beginning of the Kalpa, the fifteenth Sandhi is mentioned.",Kalpa Concept,"Manus, Sandhyās, Kalpa","States that within a Manvantara, there are fourteen Manus, including the Sandhyas, and the Sandhi (junction) is fifteen at the beginning of a Kalpa.","Could represent a symbolic or mythological representation of cosmic cycles, possibly linked to celestial events or natural phenomena.",Kalpa and Manus cycles,"Manus cycles, Cosmic epochs","This shloka corelates with NEP 2023 by promoting the integration of cultural narratives and traditional knowledge in astronomy education, fostering a deeper understanding of the historical perspectives on cosmic cycles."
172," इत्थं युगसहस्रे भूतसंहारकारकः 
कल्पो ब्राह्ममहः प्रोक्तं शर्वरी तस्य तावती
","Thus, after a thousand Yugas, the Brahma Maha Kalpa, known as Śarvarī, leads to cosmic dissolution.",Cosmic Dissolution,"Yugas, Brahma Maha Kalpa","Describes the conclusion of a Kalpa, termed Brahma-Maha, after a thousand Yugas, with its night lasting as long as its day during the destruction of beings","Reflects a cyclical understanding of cosmic time, possibly symbolizing a cosmic cycle or natural phenomena.",Cosmic epochs and dissolution,"Cosmic cycles, Epochs, Dissolution",This shloka corelates with NEP 2023 by acknowledging the cultural and symbolic significance of cosmic cycles and encouraging students to explore the diverse perspectives on the end of cosmic eras in astronomy education.
173," कल्पादस्माच्च मनवः षड्‌ व्यतीताः ससन्धयः
 वैवस्वतस्य च मनोर्युगानां त्रिघनो गतः
","After this Kalpa, six Manus have passed, and the Sandhyās of Vaivasvata's Yugas are three times three, totaling nine.",Kalpa Concept,"Manus, Sandhyās, Vaivasvata","Describes that after a Kalpa, six Manus pass, and the Manvantaras of Vaivasvata (son of Vivasvan) consist of three times sixty-four Yugas.","May represent a symbolic or mythological expression of cosmic cycles, possibly associated with the astronomical understanding of time.",Kalpa progression,"Manus, Kalpa cycles","This shloka corelates with NEP 2023 by recognizing the importance of historical and cultural perspectives in understanding celestial cycles, encouraging students to explore diverse narratives related to astronomical concepts."
174," ग्रष्टाविंशाद्युगादस्माद्यातमेतत्‌ कृतं युगम्‌ 
ग्रतः कालं प्रसङ्ख्याय सङ्खयामेकत्र पिर्डयेत्‌
","Twenty-one Yugas have passed since the last junction, and this current Yuga is known as Kṛta.",Yuga Cycles,"Yugas, Kṛta Yuga","Describes the cyclical nature where after twenty-one Yugas, a Yuga comes to an end, followed by the commencement of a new Yuga with a duration equal to half of the Sandhya (junction).","Symbolizes a cyclic understanding of cosmic time, reflecting ancient beliefs in the cyclical nature of cosmic events.",Yuga transitions,"Yuga cycles, Cosmic epochs",This shloka corelates with NEP 2023 by emphasizing the significance of traditional knowledge in understanding cosmic cycles and promoting the integration of cultural perspectives in astrophysical education.
175,"युग कृुजार्किगुरुशीघ्राणां भगः पू्व॑यायिनाम्‌
","The twelfth part of a Yuga for the quick-moving planets, Jupiter and Venus, is the Bhaga of the eastern course.",4th/5th Century CE,"Yugas, Planetary Motion","Refers to the Bhaga (portion) of Yugas, symbolizing the leading part of the Jara (Zodiac), Sun, and Jupiter.","Represents a symbolic or mythological expression of cosmic cycles, possibly linked to celestial events or astronomical symbols.",Celestial cycles and planets,"Planetary motion, Celestial cycles","This shloka corelates with NEP 2023 by recognizing the cultural and symbolic aspects of astronomical concepts, encouraging students to explore the diverse perspectives on cosmic symbols in astrophysical education."
176," सितशीघ्रस्य षट्‌ सप्तत्रियमाश्चिखभूघराः
-शनेर्भुजङ्गषट्‌पञ्चरसवेदनिशाकराः
","For the slow-moving Saturn, sixty-four parts and six-sevenths are said to be in the southern course.",4th/5th Century CE,Saturn's Motion,Describes the association of Saturn (Sisira) with sixty-six Krttikas and fifty-five Abhijit-Naksatras.,"May represent a symbolic representation of celestial bodies, possibly expressing ancient beliefs about the positions of Saturn and specific stars.",Planetary motion and division,"Saturn's motion, Celestial cycles","This shloka corelates with NEP 2023 by acknowledging the cultural and historical significance of celestial associations, promoting interdisciplinary approaches in understanding astronomical concepts."
177," चन्द्रोच्चस्या्ऽशून्याध्िवसुसपार्णवा युगे 
वामं पातस्य वस्वथियमाश्चिशिखिदस्रकाः","In the Yuga, the empty portion of the Moon's rising is the Vāmana, and the southern course is Vasiṣṭha.",4th/5th Century CE,Moon's Motion, Describes the alignment of the moon rising simultaneously with the Sun and Varuna's flag (Vasusaparna) becoming invisible at the start of a Yuga.,"Represents a symbolic or mythological expression, possibly reflecting ancient beliefs about celestial events at the beginning of a cosmic cycle.",Lunar motion and divisions,"Moon's motion, Celestial cycles","This shloka corelates with NEP 2023 by emphasizing the integration of cultural and symbolic perspectives in astrophysical education, encouraging students to explore the historical significance of celestial events."
178," भानामष्टा्तिवस्वद्वित्रिद्विद्रयष्टशरेन्दवः
 भोदया भगणः स्वैः स्वेरूनाः स्वस्वोदया युगे
","There are 28 parts of the Sun's motion, and the Moon, in its waxing and waning, is divided into three parts each.",4th/5th Century CE,"Sun, Moon's Phases",Divisions of Sun's and Moon's motion,Understanding celestial motion,Sun's and Moon's cycles,"Celestial motion, Phases","This shloka corelates with NEP 2023 by recognizing the historical significance of ancient astronomical knowledge, promoting the inclusion of diverse cultural perspectives in astrophysical education."
179," भवन्ति शशिनो मासाः सूर्येन्दुभगणान्तरम्‌
 रविमासोनितास्ते तु शेषाः स्युरधिमासकाः
",Lunar months consist of the interval between the Moon's conjunctions with the Sun. Solar months are twelve parts of the Sun's motion.,4th/5th Century CE,"Lunar Months, Solar Months",Definition of Lunar and Solar Months,Calendar systems,Lunar and Solar calendars,Lunar and Solar timekeeping,"This shloka corelates with NEP 2023 by emphasizing the historical aspects of lunar and solar time measurement, encouraging students to explore the cultural roots of timekeeping in astrophysics."
180,"सावनाहानि चाद्दरेभ्यो द्युभ्यः प्रोज्छय तिथित्तयाः 
उदयादुदयं भानोर्भूमिसावनवासरः ३६
","The days and nights of the deities are equal to one lunar day, calculated by the Moon's elongation from the Sun.",4th/5th Century CE,"Lunar Days, Deities",Equality of lunar days with deity days,Time measurement based on celestial bodies,Lunar days and celestial time,"Lunar days, Time calculation","This shloka corelates with NEP 2023 by recognizing the historical significance of ancient timekeeping methods, encouraging students to explore the evolution of calendars and time measurement in astrophysics."
181," षड्‌ वह्धित्रिहताशाङ्कतिययश्चाधिमासकाः
तिथिच्तया यमार्थाधिद्रचष्टव्योमशराश्चिनः रे
","Sixteen days make a fortnight, and the eleventh day of the dark and bright halves are the Adhika months.",4th/5th Century CE,"Fortnight, Adhika Months",Division of time into fortnights and Adhika months,Timekeeping in lunar calendars,Fortnight and lunar months,"Time division, Lunar calendars","This shloka corelates with NEP 2023 by recognizing the historical practices of calendar adjustments, promoting interdisciplinary studies that integrate cultural and scientific perspectives in astrophysical education."
182," रवचतुष्क समुद्राष्ट कुपन्च रविमासकाः
भवन्ति भोदया भानुभगरेरूनिताः क्वहाः
","Four solar days make a lunar fortnight, and the remaining lunar days are a fraction of the solar month.",4th/5th Century CE,"Solar Days, Lunar Fortnight",Correlation of solar days and lunar fortnights,Time measurement in solar and lunar calendars,Solar and lunar time,"Solar days, Lunar fortnights","This shloka corelates with NEP 2023 by acknowledging the cultural and symbolic aspects of celestial events, encouraging students to explore the historical significance of such observations in astrophysical education."
183," गोऽप्रयः शनिमन्दस्य पातानामथ वामतः
","The conjunction of cows (stars) with Saturn results in their falling, especially on the left side.",4th/5th Century CE,"Conjunction, Saturn",Relationship between conjunctions and falling stars,Understanding celestial events,Celestial events and planetary conjunctions,"Planetary conjunctions, Celestial events","This shloka corelates with NEP 2023 by recognizing the historical and cultural expressions related to celestial phenomena, encouraging students to explore diverse perspectives in astrophysical education."
184," मनुदस््रास्तु कौजस्य बौधस्याष्टाष्टसागराः 
कृताद्विचन्द्रा ॥ जेवस्य त्रिखाङ्काश्च भृगोस्तथा
","Manu's sons are eighty-eight in number, and eight are specifically related to Mercury (Budha).",4th/5th Century CE,"Manu's Sons, Mercury",Association of Manu's sons with Mercury,Understanding celestial objects,Celestial objects and planetary associations,"Planetary associations, Celestial objects","This shloka corelates with NEP 2023 by acknowledging the historical and cultural aspects of celestial observations, promoting the understanding of diverse perspectives in astrophysical education."
185," -शनिपातस्य भगणाः कल्पे यमरसर्तवः
भगणाः पूर्वमेवात्र प्रोक्ताश्च्द्रोञ्चपातयोः
","During the conjunction of Saturn, the occurrence of its rays is called Yama's (Death's) passage.",4th/5th Century CE,"Saturn's Conjunction, Yama's Passage",Relationship between Saturn's conjunction and Yama's passage,Understanding celestial events,Celestial events and Saturn's conjunction,"Saturn's conjunction, Celestial events","This shloka corelates with NEP 2023 by recognizing the cultural and symbolic expressions related to celestial phenomena, encouraging students to explore diverse perspectives in astrophysical education."
186,"
 षरामनूनां तु सम्पीड्य कालं तत्सन्धिभिः सह 
कल्पादिसन्धिना सार्धं वैवस्वतमनोस्तथा
","Squeezing together the seasons, the Kalpa, and the solar years at the junctions with their conjunctions.",4th/5th Century CE,"Seasons, Kalpa, Solar Years","Compression of seasons, Kalpa, and solar years",Understanding time cycles,Time cycles and junctions,"Time compression, Time cycles","This shloka corelates with NEP 2023 by acknowledging the historical and cultural aspects of celestial observations, promoting the understanding of diverse perspectives in astrophysical education."
187," युगानां त्रिघनं सातं तथा कृतयुगं त्विदम्‌ 
प्रोज्छय सृष्टेस्ततः कालं पूर्वोक्तं दिव्यसङ्खचया","Three cycles of seven Yugas each, and so is one Kṛta Yuga. After that, the divine mathematical calculation of time.",4th/5th Century CE,"Yuga Cycles, Kṛta Yuga",Mathematical calculation of Yuga cycles and Kṛta Yuga,Understanding cosmic time,Cosmic time cycles,"Yuga cycles, Cosmic time","This shloka corelates with NEP 2023 by recognizing the cultural and symbolic expressions related to celestial phenomena, encouraging students to explore diverse perspectives in astrophysical education."
188," सूर्याब्द सङ्ख्यया ज्ञेयाः कृतस्यान्ते गता स्रमी 
खचतुष्कयमाद्रयमिशररन्धनिशाकराः
","In the sun's cycle, at the end of creation, the fourfold division of time is gone, O moon, dispeller of darkness.",4th/5th Century CE,"Sun, Moon","Cycles of time, End of Creation",Cosmic Evolution,Concept of Time Cycles,Understanding the end of cosmic cycles in terms of time and celestial bodies.,"This shloka corelates with NEP 2023 by recognizing the cultural and symbolic expressions related to celestial phenomena, encouraging students to explore diverse perspectives in astrophysical education."
189,"पृथवस्थास्तेऽधिमासध्राः सूर्यमासविभाजिताः 
लब्धाधिमासकेर्युक्ता दिनीकृत्य दिनान्विताः
","Stationary on the Earth, surpassing the planets, divided by the solar months, appointed for the lunar months.",4th/5th Century CE,"Earth, Planets, Sun, Moon","Earth-centered perspective, Lunar months",Celestial Mechanics,Earth's Rotation and Orbit,Understanding Earth's motion and its role in lunar months.,"This shloka corelates with NEP 2023 by emphasizing the importance of integrating cultural and historical knowledge into astrophysical education, fostering a holistic understanding of celestial phenomena."
190," द्विष्ठास्तिथिन्नयाभ्यस्ताश्चान्द्रवासरभाजिताः 
लब्धोनरात्रिरोहिता लङ्कायामार्धरात्रिकः ०
","The lunar days, the nights, and the fortnights, O moon, are enjoyed by the planets without the moon; the half-night is on Lanka.",4th/5th Century CE,"Moon, Planets","Describes the distribution of Tithis over lunar days, considering the distribution of nights and days based on Lanka and Ardha-ratri.","Likely a symbolic or mythological expression, with no direct correspondence to precise astronomical values.",Phases of Moon,Describing lunar phases and planetary interactions.,"This shloka corelates with NEP 2023 by recognizing the cultural and symbolic expressions related to celestial phenomena, encouraging students to explore diverse perspectives in astrophysical education."
191," सावनो द्यगणः सूर्यादिनमासान्दपास्ततः 
सप्तभिः यितः शेषः सूर्यादयो वासेधरः

","From Savana, the solar course continues, marked by the months, and from that, seven remain; afterward, the planets reside in the sun.",4th/5th Century CE,"Sun, Planets","Describes the movement of Savana in the Solar month, starting from Dya, with seven remaining, beginning from Surya-adaya.","In modern astrophysics, the lunar phases are well-explained by the relative positions of the Sun, Earth, and Moon.",Solar System Orbits,Describing the solar system's structure and planetary orbits.,"This shloka correlates with the importance of systematic astronomical observations and understanding celestial cycles, supporting the NEP 2023 focus on promoting scientific temper and inquiry-based learning in astrophysics."
192,"यथा स्वभगणाभ्यस्तो दिनराशिः कुवासरेः
 विभाजितो मध्यगत्या भगणादिर्ग्रहो भवेत्‌
","Just as the solar zodiac is divided by its own rays, in the middle, with the solar planets, the lunar planets become luminous.",4th/5th Century CE,"Sun, Moon",Describes the elongation of Bhaga and other Grahas in the middle based on the lunar zodiac and division by the Kuvasara.,Aligns with the heliocentric model and the understanding of the apparent motion of planets in the solar system.,Zodiacal Light,Describing the interaction of solar and lunar influences.,"This shloka correlates with the emphasis on empirical observation and the scientific understanding of celestial phenomena in the NEP 2023, promoting a research-oriented approach in astrophysics education."
193," द्रादशघ्रा गुरोर्याता भगणा वर्तमानकेः 
राशिभिः सहिताः शुद्धाः षष्टचा स्युर्विंजयादयः
","The twelve divisions of Guru, along with the constellations, are pure when associated with the zodiacs; they are sixty, including Vindhya and others.",4th/5th Century CE,"Planets, Constellations","Describes the significance of planetary transits through the zodiac, associating it with positive outcomes.","Aligns with astrological concepts, acknowledging the influence of planets on various aspects.",Celestial Coordinates,Understanding celestial coordinates and time divisions.,"This shloka correlates with the integration of traditional knowledge systems in astronomy, aligning with the NEP 2023's emphasis on recognizing and incorporating indigenous knowledge into scientific studies."
194,"स्रस्मिन्‌ कृतयुगस्यान्ते सर्वे मध्यगता ग्रहाः 
विना तु पातमन्दोच्चान्‌ मेषादौ तुल्यतामिताः
","At the end of the Krita Yuga, all planets are in the middle; without falling, they move high, equal to the start from Aries.",4th/5th Century CE,Planets,"Describes the planetary positions at the end of a cosmic era, emphasizing specific positions in Aries.","Aligns with the concept of precession, where the positions of celestial bodies change over long time periods.",Planetary Alignments,Describing planetary positions at the end of a cosmic era.,"This shloka correlates with the historical and cultural aspects of astronomy, emphasizing the importance of studying the evolution of astronomical knowledge, supporting NEP 2023's focus on interdisciplinary studies."
195," मकरादौ शशाङ्कोच्चं तत्पातस्तु तुलादिगः 
निरंशत्वं गताश्चान्ये नोक्तास्ते मन्दचारिणः ए
","From Makara onwards, the moon is in conjunction with the sun, and the fall is in Libra, etc. Others remain without divisions.",4th/5th Century CE,"Moon, Sun",Describes specific planetary positions and their motions during a particular celestial alignment.,"Aligns with precise celestial observations for understanding planetary motions, correlating with the concept of heliocentrism.",Lunar Phases,Describing lunar phases and zodiacal positions.,"This shloka correlates with the importance of accurate astronomical observations, supporting the NEP 2023 focus on fostering observational and experimental skills in scientific education."
196,"लम्बज्याघ्रस्तरिजीवाप्तः स्फुटो भूपरिधिः स्वकः
 तेन देशान्तराभ्यस्ता ग्रहभुक्तिर्विंभाजिता","Obtaining the life of the prey in Leo, the lower part of the earth is clear; by it, the planets are distributed in other regions.",4th/5th Century CE,"Planets, Leo",Describes the influence of a specific astrological marking on a person's rule and understanding of territories.,Aligns with astrological concepts associating specific markings with characteristics and potential influences.,Planetary Distribution,Understanding the distribution of planets based on celestial positions.,"This shloka correlates with the NEP 2023 focus on recognizing and fostering individual strengths and talents, promoting a holistic approach to education that values diverse skills and abilities."
198, यदा भवेत्‌ तदा प्राच्यां स्वस्थानं मध्यतो भवेत्‌,"When that occurs, the east becomes the center; in the middle, the planets remain.",4th/5th Century CE,Planets,Implies a shift in the perceived center point towards the east during specific cosmic occurrences.,May metaphorically align with astronomical phenomena impacting the perception of directional prominence.,Center of the Universe,Describing a cosmological shift in perspective.,"This shloka correlates with the NEP 2023 emphasis on adaptability and contextual learning, highlighting the need for an educational system that evolves with changing dynamics and perspectives."
199," अप्राप्य च भवेत्‌ पश्चादेवं वापि निमीलनात्‌
 तयोरन्तरनाडीभिर्हन्याद्‌ भूपरिधिं स्फुटम्‌
","Without reaching the end, it closes again; by the inner channels, the vivid earth is pierced.",4th/5th Century CE,Earth,Suggests a cosmic event affecting the balance of power and rule on Earth when specific conditions are not met.,"May metaphorically represent geopolitical shifts influenced by celestial events, although not scientifically proven.",Concept of Cosmic Punctuations,Describing cyclical Earth phenomena.,"This shloka correlates with the NEP 2023's emphasis on global awareness and interconnectedness, encouraging educational perspectives that consider global dynamics and cooperation."
200,"षष्ट्या विभज्य लब्धेस्तु योजनैः प्रागथापरः 
स्वदेशः परिधौ ज्ञेयः कुयदिशान्तरं हि तैः
","Dividing by sixty, one should understand the regions with these measures; his own region is to be known in the outer circle, for they are indicators.",4th/5th Century CE,"Regions, Yojanas","Spatial Division, Measurement",Spatial Geometry,Regional Positioning,Understanding spatial divisions based on a numerical system.,"This shloka correlates with the NEP 2023's emphasis on mathematical and analytical skills, promoting a scientific approach to problem-solving and decision-making in geographical and spatial contexts."
201," वारप्रवृत्तिः प्राण्देडे चपार्धऽभ्यधिके भवेत्‌
 तदेशान्तरनाडीभिः पश्चादूने विनिर्दिशेत्‌
","The half-day and the half-night increase in the fortnight; by these, the southern regions are to be known after the directions of the east.",4th/5th Century CE,Day-Night Cycle,Varied Day-Night Cycles,Earth's Rotation,Time Zones,Describing variations in day-night cycles in different regions.,"This shloka correlates with the NEP 2023's focus on holistic well-being and the integration of ancient wisdom into educational practices, emphasizing the interconnectedness of physical and mental aspects in learning."
202,"भचक्रलिप्ताशीत्यंशं परमं दक्िणोत्तरम्‌ 
विल्लिप्यते स्वपातेन स्वक्रान्त्यन्तादनुष्छगुः प
","Covering eighty-one degrees from the southernmost point to the northern, it is wiped out by its own fall, from the southernmost to its own limit.",4th/5th Century CE,Celestial Sphere,Circular Measurement,Celestial Coordinates,Celestial Sphere Dynamics,Describing celestial motion across degrees of the celestial sphere.,"This shloka correlates with the NEP 2023 emphasis on individual empowerment and autonomy in education, encouraging students to explore their potential and capabilities in astrophysics."
203," एवं त्रिघनरन्धार्करसार्का्का दशाहताः 
चन्द्रादीनां क्रमादुक्ता मध्यविन्नेपलिप्निकाः
","Thus, the solar and lunar orbs, being ten degrees apart, are mentioned in order; they do not blemish the middle, enveloped in the curvature.",4th/5th Century CE,"Sun, Moon",Solar-Lunar Relationship,Celestial Orbits,Orbital Dynamics,Understanding the relationship between solar and lunar orbs.,"This shloka correlates with the NEP 2023's focus on promoting mathematical and analytical skills, emphasizing the importance of mathematical reasoning in the study of celestial phenomena."
204,"प्रदृश्यरूपाः कालस्य मूर्तयो भगणाश्चिताः 
शीघ्मन्दोच्चपाताख्या ग्रहाणां गतिहेतवः
","The visible forms of Time, the divisions of the sky, called the 'quick rise' and 'sudden descent,' are the causes of the planets' motions.",4th/5th Century CE,"Planets, Time",Celestial Appearances,Planetary Motion,Planetary Dynamics,Describing the visible aspects and causes of planetary motion.,"This shloka correlates with the NEP 2023's emphasis on integrating traditional knowledge with modern scientific understanding, encouraging students to appreciate the historical context of astronomical discoveries."
205," ग्रहात्‌ प्राग्भगणार्धंस्थः प्राङ्गखं कर्षति ग्रहम्‌ 
उद्चसंज्ञोऽपरार्धस्थस्तद्रत्पश्चान्मुखं ग्रहम्‌
","In the half-circle in front, a planet attracts the one behind it; with an upward name, it moves backward, and with a downward name, it moves forward.",4th/5th Century CE,Planets,Planetary Attraction,Gravitational Forces,Gravitational Interaction,Describing planetary attractions and their motion.,"This shloka correlates with the NEP 2023 emphasis on interdisciplinary learning, suggesting connections between traditional knowledge and modern scientific principles in astrophysics."
206," स्वोच्चापकृष्टा भगणेः प्राङ्गखं यान्ति यद्‌ ग्रहाः 
तत्‌ तेषु घनमित्युक्तं फलं पश्चान्मुखेष्वृणम्‌
","The planets, drawn towards the forward region, move towards the one facing that region; thus, it is said that their mass lies towards the rear.",4th/5th Century CE,Planets,Mass Distribution,Mass Dynamics,Mass and Motion,Describing the mass distribution and motion of planets.,"This shloka correlates with the NEP 2023's emphasis on experiential learning, encouraging students to explore and understand natural phenomena, including celestial motions."
207," दक्तिणोत्तरतोऽप्येवं पातो राहुः स्वरंहसा
 विल्तिपत्येष वित्तेपं चन्द्रादीनामपक्रमात्‌
","From the south to the north, Rahu, with a half-circle, swallows the sun and moon without deviation, in reverse order.",4th/5th Century CE,"Rahu, Sun, Moon",Eclipse Phenomena,Eclipse Mechanics,Solar and Lunar Eclipses,Describing the phenomenon of solar and lunar eclipses by Rahu.,"This shloka correlates with the NEP 2023's focus on fostering scientific temper, encouraging students to critically understand and explore the scientific basis of celestial events."
208," उत्तराभिमुखं पातो वि्तिपत्यपरार्धगः 
ग्रहं प्राग्भगणार्धस्थो याम्यायामपकर्षति","Facing north, moving in the opposite direction, Rahu in the half-circle swallows the planet in the forward region at sunrise and sunset.",4th/5th Century CE,"Rahu, Planets",Celestial Motion,Celestial Mechanics,Celestial Motion and Eclipses,Describing Rahu's role in celestial motion and eclipses.,"This shloka correlates with the NEP 2023's emphasis on collaborative learning, promoting the understanding of interconnectedness and mutual influence in celestial dynamics."
209,"अर्थ गुप्रे शुचौ देशे स्नातः शुचिरलङ्कतः 
सम्पूज्य भास्करं भक्त्या ग्रहान्‌ भान्यथ गुह्यकान्‌","In a clean and prosperous place, a person, after bathing, adorned with clean clothes, worships the sun with devotion, offering prayers to the hidden planets.",Ancient Era (Historical Context Required),"Sun, Planets",Ritualistic worship of the Sun and hidden planets suggests a connection between daily life and celestial bodies.,Modern astronomy acknowledges the importance of the Sun in our solar system but doesn't attribute hidden planets to worship.,Spiritual connection with celestial bodies may be correlated with the life-sustaining role of the Sun.,"Astrology, Rituals, Solar Worship","This shloka correlates with the NEP 2023's encouragement of holistic education, emphasizing cultural and traditional knowledge alongside scientific studies, fostering a well-rounded understanding of celestial phenomena."
210,भगणांशाङ्गुले लेः कार्या दलितैस्तिस्र एव ताः स्वाहोरात्रार्धकर्योश्च तत्प्रमाणानुमानतः,"A portion of the thumb, middle, and ring fingers should be used for measurements; this is three, as well as the half of the day and night, and that is the ",Ancient times,Measurement using body parts,"Use of fingers for measurements, specific proportions.","Measurement using fingers, cultural connection of body parts with measurement; a practical approach in the ancient measurement system.",Cultural connection of body parts with measurement; a practical approach.," Practical approach, Body parts measurement.","This shloka correlates with the NEP 2023's emphasis on skill development, encouraging students to understand diverse methods of knowledge transmission, including historical timekeeping practices related to celestial observations."
